Produit,Mois,Demande,EOQ,S_EUR,H_annuel_EUR
Seringues,Jan,8712,7920,150,0.5
Seringues,Fev,5253,6149,150,0.5
Seringues,Mar,4937,5962,150,0.5
Seringues,Avr,3398,4946,150,0.5
Seringues,Mai,3691,5155,150,0.5
Seringues,Jun,3200,4800,150,0.5
Seringues,Jul,3409,4954,150,0.5
Seringues,Aou,2718,4423,150,0.5
Seringues,Sep,5165,6098,150,0.5
Seringues,Oct,1548,3338,150,0.5
Seringues,Nov,4619,5766,150,0.5
Seringues,Dec,5641,6373,150,0.5
Poches,Jan,3031,3015,250,2.0
Poches,Fev,1774,2306,250,2.0
Poches,Mar,2018,2460,250,2.0
Poches,Avr,2033,2469,250,2.0
Poches,Mai,2528,2753,250,2.0
Poches,Jun,1115,1828,250,2.0
Poches,Jul,903,1645,250,2.0
Poches,Aou,1138,1847,250,2.0
Poches,Sep,1264,1947,250,2.0
Poches,Oct,290,932,250,2.0
Poches,Nov,2418,2693,250,2.0
Poches,Dec,2990,2994,250,2.0
Implantables,Jan,266,336,800,45.0
Implantables,Fev,139,243,800,45.0
Implantables,Mar,220,306,800,45.0
Implantables,Avr,255,329,800,45.0
Implantables,Mai,301,358,800,45.0
Implantables,Jun,290,351,800,45.0
Implantables,Jul,232,314,800,45.0
Implantables,Aou,301,358,800,45.0
Implantables,Sep,185,280,800,45.0
Implantables,Oct,81,185,800,45.0
Implantables,Nov,259,332,800,45.0
Implantables,Dec,322,370,800,45.0
