Lot,Temperature,Taux_Defauts
1,108,21.0
2,108,20.6
3,108,20.8
4,108,21.2
5,110,18.8
6,110,19.1
7,110,18.5
8,110,18.9
9,112,16.7
10,112,16.3
11,112,16.6
12,112,16.9
13,114,14.5
14,114,14.2
15,114,14.7
16,114,14.4
17,116,12.8
18,116,12.5
19,116,12.9
20,116,12.6
21,118,10.6
22,118,10.3
23,118,10.7
24,118,10.5
25,120,8.2
26,120,8.0
27,120,8.4
28,120,8.1
29,121,6.2
30,121,6.0
31,121,6.1
32,121,6.3
33,122,6.5
34,122,6.6
35,122,6.4
36,122,6.5
37,124,7.9
38,124,7.8
39,124,8.0
40,124,7.7
41,126,9.2
42,126,9.0
43,126,9.4
44,126,9.1
45,128,11.5
46,128,11.2
47,128,11.4
48,128,11.6
49,130,14.3
50,130,14.0
51,130,14.2
52,130,14.5
53,132,17.9
54,132,17.5
55,132,17.8
56,132,18.1
57,134,22.0
58,134,21.7
59,134,21.9
60,134,22.2
